05212	05212
100124593	04060
112400	04012
113901	00530
113902	00960 00983
113911	04740
113914	04080
113919	00480 00590
113927	04310 04340
113936	04610
113956	01040
113959	04080 04610
113965	00062 00071 00280 00310 00380 00650 00930
113970	04530
113976	00071 03320 04920
113992	00040 00053 00150 00500 00830 00860 00980 00982 00983
113995	04020 04080
114002	00534
114024	00071 03320 04920
114027	00260 00330 00472
114096	00020
114097	00590
114098	04020 04080
114099	04020 04080
114100	00100
114101	00564 04070
114103	04060 04630 04640
114105	04060
114106	00830
114110	04060 04510
114111	04060 04150 04510 05200 05211 05212 05219
114113	00565
114115	04020 04080
114117	04742
114120	04010 04810
114122	04514
114123	00260
114125	04330
114203	04910
114207	04020 04730
114211	04080
114212	04110 04115
114214	04210
114243	04670
114248	00230
114483	04110 04115 05200 05212 05214 05218 05220 05222 05223
114486	04010 04012 04150 04510 04650 04720 04730 04810 04910 05200 05210 05211 05212 05213 05214 05215 05216 05218 05219 05220 05221 05223
114487	04310 04340 04916 05200 05217
114489	04512
114492	04060
114493	04010 04020 04912 05010
114494	04110
114495	04010 04620 04664 04912 05014
114508	00010 00030 00051 04910
114513	04010
114516	04080
114517	04510 04512 04514 04640 04810 05200 05222
114521	03410
114523	04360
114524	04360
114553	04670
114557	04310
114558	04140
114559	04810
114597	00020 00640
114628	02010
114630	00190 05010 05012 05016
114633	00562 04020 04070
114700	00100
114711	00530
114768	00230 00232
114850	04310 04340 04916 05200 05217
114851	04012 04110 04115 05200 05214 05215 05218 05219 05220
114856	04010
114858	04012 04510 04650 04910 05214 05220
114860	00052 00520
114862	04010 04020
115769	04530
116455	00190
116457	04010
116465	04060 04630 04650
116466	04310 04340 04916 05200 05217
116468	03030 03420 03430
116470	04130
116472	04060
116479	04514 04530 04670
116483	00252 00970
116490	04520
116498	04080
116499	04010 04810 05200 05218
116500	04130
116506	04080
116508	04514
116546	05200 05212
116549	04310 04520 04530
116550	00190 05010 05012 05016
116551	04660 04664
116552	00310
116553	04060 04630 04664 05310
116554	04010 04012 04310 04510 04620 04664 04910 04912 04920 04930 05200 05210 05212
116556	00230 04540 04730
116558	04060 04630 05310
116561	05016
116562	04060 04630 04660 04940 05320 05330 05332
116563	05016
116564	00230 04540 04730
116568	00430 00450 00460 00480 00590
116569	00052 00511 00531 00561 00600 00604
116589	04115
116590	04010 04012 04150 04350 04360 04370 04510 04520 04540 04620 04650 04664 04720 04730 04810 04910 04912 04916 04930 05010 05200 05210 05211 05212 05213 05214 05215 05216 05218 05219 05220 05221 05223
116591	04650 05322
116593	00240 00410 00770 00983
116595	04514
116596	04010 04620 04660
116599	00860
116600	04010
116601	04020 05010
116630	04060 04630 04640 04650 04660 04664
116631	00232 00983
116632	00232 00983
116636	04012 04150 04910 05221
116647	04514
116650	03060
116651	04350
116654	04530
116660	04940
116663	04010
116664	00190
116667	04010 04120 04912
116669	04510 04512 04610
116670	04510 04720 04810
116671	05010
116673	04512 04514
116676	00830
116677	04080
116682	00380
116683	04360
116684	00480
116686	00480
116689	04520 04630 04650 04660 04662
116690	04514
116699	00562 04070
116700	04080 04912 05320
116717	04910
116719	00061 00620 00640 04910 04920
116720	04070
116721	02010
116723	00562 04070 04810
116724	04530
116725	04120
116727	04512 04640
116728	05012
116740	00601
116744	04080 04540
116777	04514
117017	00230 00240 03020 05016
117022	04010 04060 04640
117027	04060
117029	04060
117041	04614
117042	03010
117045	04150 04910
117053	03010
117056	05322
117060	04120
117096	04514
117097	04080
117098	00010 00020 00290 00620 00650
117099	00072 00650
117104	04530
117108	00532 00534
117182	00150
117185	00511 00600
117243	00071 03320 04920
117249	05016
117256	04530
117258	04514
117262	03050
117263	03050
117264	04080
117269	04010 04150 04720
117273	04310 04350 04360 04510 04520 04530 04660 04670 04810 05200
117275	04350
117276	00051
117278	00100
117279	04210
117281	04310 04350 04530 04730
117287	05012
117512	04610 05322
117516	04060
117517	04610 05322
117519	04120
117526	03022 05016
117533	00230
117539	04060 04630
117542	04520 04810
117544	00230 00251
117547	04650
117549	05012
117551	04060
117553	04120
117554	00561
117556	04512
117557	05200 05216
117558	04020 04510 04810
117559	04512
117596	00190
122799	03010
124323	03010
124440	03010
140433	04510 04512 05200 05222
140447	04020
140448	04020
140544	00440 00564
140547	00062 00071 00280 00310 00380 00410 00632 00640 00650 00903 00930
140583	04110 04115
